caseid,panid,week,brand,decision,regpr,pcut,disp,feat
153,14205476,1005,3,1,7.058,0,1,1
153,14205476,1005,4,0,6.65,0,0,0
154,14205476,1010,1,0,7.216,0.932,0,0
154,14205476,1010,2,0,4.955,0.148,0,0
154,14205476,1010,3,1,7.783,0.391,1,1
154,14205476,1010,4,0,6.79,0,0,0
155,14205682,941,1,0,7.064,0,1,1
155,14205682,941,2,0,4.125,0,0,0
155,14205682,941,3,1,7.014,0,1,0
155,14205682,941,4,0,5.99,0,0,0
156,14205682,958,1,0,7.064,0,0,0
156,14205682,958,2,0,4.125,0,0,0
156,14205682,958,3,1,7.014,0,1,0
156,14205682,958,4,0,6.59,0,1,1
157,14205682,960,1,0,7.064,0,0,0
157,14205682,960,2,0,4.231,0.425,1,0
157,14205682,960,3,1,7.014,0,0,0
157,14205682,960,4,0,6.59,0,0,0
158,14205682,966,1,0,7.079,0.384,0,0
158,14205682,966,2,0,4.464,0.37,1,1
158,14205682,966,3,1,7.005,0.441,1,0
158,14205682,966,4,0,6.59,0,0,0
159,14205682,983,1,0,6.94,0.142,0,0
159,14205682,983,2,0,4.701,0,0,0
159,14205682,983,3,1,7.063,0,1,1
159,14205682,983,4,0,6.59,0,0,0
160,14205682,998,1,0,6.853,0.083,0,0
160,14205682,998,2,0,4.694,0,1,1
160,14205682,998,3,1,7.106,0.048,1,0
160,14205682,998,4,0,6.65,0,0,0
161,14205682,1006,1,0,7.195,0.19,0,0
161,14205682,1006,2,0,4.8,0.073,1,1
161,14205682,1006,3,1,7.106,0,0,0
161,14205682,1006,4,0,6.65,0,0,0
162,14205682,1011,1,0,7.219,0.206,0,0
162,14205682,1011,2,0,4.854,0.168,1,1
162,14205682,1011,3,1,7.783,0.391,0,0
162,14205682,1011,4,0,6.79,0,0,0
163,14205682,1031,1,0,7.769,0.142,0,0
163,14205682,1031,2,0,5.027,0.201,0,0
163,14205682,1031,3,1,7.803,0,1,1
163,14205682,1031,4,0,6.79,0,0,0
164,14205682,1037,1,0,7.647,0,0,0
164,14205682,1037,2,0,5.028,0,1,1
164,14205682,1037,3,1,7.803,0,1,0
164,14205682,1037,4,0,6.79,0,0,0
165,14205724,936,1,0,7.064,0,1,1
165,14205724,936,2,0,4.121,0,0,0
165,14205724,936,3,1,7.014,0,0,0
165,14205724,936,4,0,5.94,0,0,0
166,14205781,967,1,0,7.068,0.225,0,0
166,14205781,967,2,0,4.5,0.369,0,0
166,14205781,967,3,1,7.019,1.205,1,1
166,14205781,967,4,0,6.59,0,1,1
167,14206128,930,1,0,7.064,0,0,0
167,14206128,930,2,1,4.121,0,1,1
167,14206128,930,3,0,7.017,0,0,0
167,14206128,930,4,0,5.825,0,0,0
168,14206128,947,1,0,7.064,0,0,0
168,14206128,947,2,1,4.125,0,1,1
168,14206128,947,3,0,7.014,0,0,0
168,14206128,947,4,0,6.59,0,0,0
169,14206128,955,1,0,7.064,0,0,0
169,14206128,955,2,1,4.125,0,1,1
169,14206128,955,3,0,7.014,0,0,0
169,14206128,955,4,0,6.59,0,0,0
170,14206128,959,1,0,7.064,0,0,0
170,14206128,959,2,1,4.12,0.542,1,1
170,14206128,959,3,0,7.014,0,1,0
170,14206128,959,4,0,6.59,0,0,0
171,14206128,974,1,0,6.889,0,0,0
171,14206128,974,2,1,4.679,0,1,1
171,14206128,974,3,0,7.072,0,0,0
171,14206128,974,4,0,6.59,0,0,0
172,14206128,992,1,0,6.827,0,0,0
172,14206128,992,2,1,4.652,0,1,1
172,14206128,992,3,0,7.399,0,0,0
172,14206128,992,4,0,6.59,0,0,0
173,14206128,1026,1,0,7.769,0.122,0,0
173,14206128,1026,2,1,5.028,0,0,0
173,14206128,1026,3,0,7.803,0,0,0
173,14206128,1026,4,0,6.79,0,0,0
174,14206607,979,1,0,6.925,0.118,1,0
174,14206607,979,2,0,4.701,0,0,0
174,14206607,979,3,1,6.93,0,1,1
174,14206607,979,4,0,6.59,0,0,0
175,14207142,940,1,0,7.064,0,0,0
175,14207142,940,2,1,4.125,0,0,0
175,14207142,940,3,0,7.014,0,1,1
175,14207142,940,4,0,5.99,0,0,0
176,14207142,973,1,0,6.769,0,0,0
176,14207142,973,2,1,4.679,0,1,0
176,14207142,973,3,0,7.072,0,0,0
176,14207142,973,4,0,6.59,0,0,0
177,14207142,1000,1,0,6.913,0,0,0
177,14207142,1000,2,1,4.704,0,0,0
177,14207142,1000,3,0,7.058,0,0,0
177,14207142,1000,4,0,6.65,0,0,0
178,14207522,932,1,0,7.064,0,0,0
178,14207522,932,2,1,4.121,0.073,1,0
178,14207522,932,3,0,7.017,0.09,1,1
178,14207522,932,4,0,5.71,0,1,1
179,14207522,938,1,0,7.064,0,0,0
179,14207522,938,2,1,4.125,0,0,0
179,14207522,938,3,0,7.014,0,0,0
179,14207522,938,4,0,5.99,0,0,0
180,14207522,954,1,0,7.064,0,0,0
180,14207522,954,2,1,4.125,0,0,0
180,14207522,954,3,0,7.014,0,0,0
180,14207522,954,4,0,6.59,0,0,0
181,14207522,966,1,0,7.079,0.384,0,0
181,14207522,966,2,1,4.464,0.37,1,1
181,14207522,966,3,0,7.005,0.441,1,0
181,14207522,966,4,0,6.59,0,0,0
182,14207522,974,1,0,6.889,0,0,0
182,14207522,974,2,1,4.679,0,1,1
182,14207522,974,3,0,7.072,0,0,0
182,14207522,974,4,0,6.59,0,0,0
183,14207522,997,1,0,6.902,0.589,1,0
183,14207522,997,2,1,4.776,0,0,0
183,14207522,997,3,0,7.106,0.048,1,1
183,14207522,997,4,0,6.65,0,0,0
184,14207522,1001,1,0,7.095,0,0,0
184,14207522,1001,2,1,4.723,0,0,0
184,14207522,1001,3,0,7.058,0,1,1
184,14207522,1001,4,0,6.65,0,0,0
185,14207522,1005,1,0,7.198,1.217,0,0
185,14207522,1005,2,1,4.723,0,0,0
185,14207522,1005,3,0,7.058,0,1,1
185,14207522,1005,4,0,6.65,0,0,0
186,14207522,1007,1,1,7.405,0.106,0,1
186,14207522,1007,2,0,4.811,0.168,1,0
186,14207522,1007,3,0,7.511,0,0,0
186,14207522,1007,4,0,6.69,0,0,0
187,14207522,1010,1,1,7.216,0.932,0,0
187,14207522,1010,2,0,4.955,0.148,0,0
187,14207522,1010,3,0,7.783,0.391,1,1
187,14207522,1010,4,0,6.79,0,0,0
188,14207522,1025,1,1,7.769,0.171,1,0
188,14207522,1025,2,0,5.028,0,0,0
188,14207522,1025,3,0,7.803,0,0,0
188,14207522,1025,4,0,6.79,0,0,0
189,14207522,1027,1,0,7.769,0.122,0,0
189,14207522,1027,2,1,5.019,0.336,1,1
189,14207522,1027,3,0,7.803,0,0,0
189,14207522,1027,4,0,6.79,0,0,0
190,14207522,1029,1,0,7.769,0.122,1,1
190,14207522,1029,2,0,5.019,0.336,0,0
190,14207522,1029,3,1,7.803,0,0,0
190,14207522,1029,4,0,6.79,0,0,0
191,14207522,1039,1,0,7.647,0,1,0
191,14207522,1039,2,1,5.028,0,0,0
191,14207522,1039,3,0,7.803,0,0,0
191,14207522,1039,4,0,6.79,0,0,0
192,14207613,925,1,0,7.064,0,0,0
192,14207613,925,2,0,4.121,0,0,0
192,14207613,925,3,0,7.017,0,0,0
192,14207613,925,4,1,6.012,1.022,1,1
193,14207613,930,1,0,7.064,0,0,0
193,14207613,930,2,1,4.121,0,1,1
193,14207613,930,3,0,7.017,0,0,0
193,14207613,930,4,0,5.825,0,0,0
194,14207613,941,1,1,7.064,0,1,1
194,14207613,941,2,0,4.125,0,0,0
194,14207613,941,3,0,7.014,0,1,0
194,14207613,941,4,0,5.99,0,0,0
195,14207613,952,1,1,7.071,0.265,1,0
195,14207613,952,2,0,4.125,0,0,1
195,14207613,952,3,0,7.014,0,0,0
195,14207613,952,4,0,6.533,0,0,0
196,14207613,959,1,0,7.064,0,0,0
196,14207613,959,2,1,4.12,0.542,1,1
196,14207613,959,3,0,7.014,0,1,0
196,14207613,959,4,0,6.59,0,0,0
197,14207613,1033,1,0,7.647,0,0,0
197,14207613,1033,2,1,5.028,0,1,1
197,14207613,1033,3,0,7.803,0,0,0
197,14207613,1033,4,0,6.79,0,0,0
198,14207621,919,1,0,7.156,0.114,1,1
198,14207621,919,2,0,4.17,0,0,0
198,14207621,919,3,1,6.986,0,0,0
198,14207621,919,4,0,5.99,0,0,0
199,14207621,930,1,0,7.064,0,0,0
199,14207621,930,2,1,4.121,0,1,1
199,14207621,930,3,0,7.017,0,0,0
199,14207621,930,4,0,5.825,0,0,0
200,14207621,941,1,0,7.064,0,1,1
200,14207621,941,2,0,4.125,0,0,0
200,14207621,941,3,1,7.014,0,1,0
200,14207621,941,4,0,5.99,0,0,0
201,14207621,944,1,0,7.064,0.088,1,0
201,14207621,944,2,1,4.125,0.073,1,0
201,14207621,944,3,0,7.014,0,0,1
201,14207621,944,4,0,5.99,0,0,0
202,14207621,951,1,1,7.071,0.265,1,0
202,14207621,951,2,0,4.125,0,0,1
202,14207621,951,3,0,7.014,0,0,0
202,14207621,951,4,0,6.59,0,0,0
203,14207621,954,1,0,7.064,0,0,0
203,14207621,954,2,0,4.125,0,0,0
203,14207621,954,3,1,7.014,0,0,0
203,14207621,954,4,0,6.59,0,0,0
204,14207621,958,1,0,7.064,0,0,0
204,14207621,958,2,0,4.125,0,0,0
204,14207621,958,3,1,7.014,0,1,0
204,14207621,958,4,0,6.59,0,1,1
205,14207621,972,1,0,6.747,0.086,0,0
205,14207621,972,2,1,4.679,0,0,0
205,14207621,972,3,0,7.072,0,1,1
205,14207621,972,4,0,6.59,0,0,0
206,14207621,978,1,1,6.925,0.118,1,1
206,14207621,978,2,0,4.682,0,0,0
206,14207621,978,3,0,7.063,0,0,0
206,14207621,978,4,0,6.59,0,0,0
207,14207621,1002,1,0,7.024,1.199,1,1
207,14207621,1002,2,0,4.723,0,0,0
207,14207621,1002,3,1,7.058,0,0,0
207,14207621,1002,4,0,6.65,0,0,0
208,14207621,1006,1,0,7.195,0.19,0,0
208,14207621,1006,2,0,4.8,0.073,1,1
208,14207621,1006,3,1,7.106,0,0,0
208,14207621,1006,4,0,6.65,0,0,0
209,14207621,1011,1,0,7.219,0.206,0,0
209,14207621,1011,2,0,4.854,0.168,1,1
209,14207621,1011,3,1,7.783,0.391,0,0
209,14207621,1011,4,0,6.79,0,0,0
210,14207621,1017,1,0,7.2,0.532,1,0
210,14207621,1017,2,0,4.824,0.157,1,1
210,14207621,1017,3,1,7.803,0,0,0
210,14207621,1017,4,0,6.79,0,0,0
211,14207621,1023,1,1,7.769,0,1,1
211,14207621,1023,2,0,5.028,0,1,1
211,14207621,1023,3,0,7.803,0,0,0
211,14207621,1023,4,0,6.79,0,0,0
212,14207712,1019,1,1,7.64,0,1,0
212,14207712,1019,2,0,4.827,0.144,0,0
212,14207712,1019,3,0,7.803,0,0,0
212,14207712,1019,4,0,6.79,0,0,0
213,14208181,1014,1,0,7.2,0.425,1,1
213,14208181,1014,2,0,4.828,0,1,1
213,14208181,1014,3,1,7.803,0,0,0
213,14208181,1014,4,0,6.79,0,0,0
214,14208181,1017,1,0,7.2,0.532,1,0
214,14208181,1017,2,0,4.824,0.157,1,1
214,14208181,1017,3,1,7.803,0,0,0
214,14208181,1017,4,0,6.79,0,0,0
215,14208181,1025,1,1,7.769,0.171,1,0
215,14208181,1025,2,0,5.028,0,0,0
215,14208181,1025,3,0,7.803,0,0,0
215,14208181,1025,4,0,6.79,0,0,0
216,14208264,912,1,0,7.344,0.302,1,0
216,14208264,912,2,1,4.379,0.239,1,1
216,14208264,912,3,0,6.96,0.307,0,0
216,14208264,912,4,0,6.045,0,0,0
217,14208264,918,1,0,7.207,0.133,1,0
217,14208264,918,2,0,4.17,0,0,0
217,14208264,918,3,1,6.986,0,1,1
217,14208264,918,4,0,5.99,0,0,0
218,14208264,923,1,0,7.059,0,0,0
218,14208264,923,2,0,4.17,0,0,0
218,14208264,923,3,1,7.017,0,1,1
218,14208264,923,4,0,5.99,0,0,0
219,14208264,927,1,0,7.064,0,1,0
219,14208264,927,2,0,4.121,0,0,0
219,14208264,927,3,1,7,0.061,1,1
219,14208264,927,4,0,5.99,0,0,0
220,14208264,938,1,0,7.064,0,0,0
220,14208264,938,2,0,4.125,0,0,0
220,14208264,938,3,1,7.014,0,0,0
220,14208264,938,4,0,5.99,0,0,0
221,14208264,941,1,0,7.064,0,1,1
221,14208264,941,2,0,4.125,0,0,0
221,14208264,941,3,1,7.014,0,1,0
221,14208264,941,4,0,5.99,0,0,0
222,14208264,945,1,0,7.064,0,1,0
222,14208264,945,2,0,4.125,0,0,0
222,14208264,945,3,1,7.014,0,1,1
222,14208264,945,4,0,5.99,0,0,0
223,14208264,953,1,0,7.062,0.127,0,0
223,14208264,953,2,0,4.125,0,0,0
223,14208264,953,3,1,7.014,0,1,0
223,14208264,953,4,0,6.59,0,0,0
224,14208264,958,1,0,7.064,0,0,0
224,14208264,958,2,0,4.125,0,0,0
224,14208264,958,3,1,7.014,0,1,0
224,14208264,958,4,0,6.59,0,1,1
225,14208264,967,1,0,7.068,0.225,0,0
225,14208264,967,2,0,4.5,0.369,0,0
225,14208264,967,3,1,7.019,1.205,1,1
225,14208264,967,4,0,6.59,0,1,1
226,14208264,979,1,0,6.925,0.118,1,0
226,14208264,979,2,0,4.701,0,0,0
226,14208264,979,3,1,6.93,0,1,1
226,14208264,979,4,0,6.59,0,0,0
227,14208264,996,1,0,6.902,0.589,1,1
227,14208264,996,2,0,4.753,0,0,0
227,14208264,996,3,1,7.106,0.048,0,0
227,14208264,996,4,0,6.65,0,0,0
228,14208264,998,1,0,6.853,0.083,0,0
228,14208264,998,2,0,4.694,0,1,1
228,14208264,998,3,1,7.106,0.048,1,0
228,14208264,998,4,0,6.65,0,0,0
229,14208264,1005,1,0,7.198,1.217,0,0
229,14208264,1005,2,0,4.723,0,0,0
229,14208264,1005,3,1,7.058,0,1,1
229,14208264,1005,4,0,6.65,0,0,0
230,14208264,1010,1,0,7.216,0.932,0,0
230,14208264,1010,2,0,4.955,0.148,0,0
230,14208264,1010,3,1,7.783,0.391,1,1
230,14208264,1010,4,0,6.79,0,0,0
231,14208264,1032,1,0,7.769,0.142,0,0
231,14208264,1032,2,0,5.028,0,1,1
231,14208264,1032,3,1,7.803,0,1,1
231,14208264,1032,4,0,6.79,0,0,0
232,14209759,930,1,0,7.064,0,0,0
232,14209759,930,2,1,4.121,0,1,1
232,14209759,930,3,0,7.017,0,0,0
232,14209759,930,4,0,5.825,0,0,0
233,14209965,1038,1,0,7.647,0,1,1
233,14209965,1038,2,1,5.028,0,1,0
233,14209965,1038,3,0,7.803,0,0,0
233,14209965,1038,4,0,6.79,0,0,0
234,14210062,976,1,0,6.925,0.118,0,0
234,14210062,976,2,0,4.679,0,1,0
234,14210062,976,3,0,7.072,0,0,0
234,14210062,976,4,1,6.59,0,1,1
235,14210062,1037,1,0,7.647,0,0,0
235,14210062,1037,2,0,5.028,0,1,1
235,14210062,1037,3,1,7.803,0,1,0
235,14210062,1037,4,0,6.79,0,0,0
236,14210096,979,1,1,6.925,0.118,1,0
236,14210096,979,2,0,4.701,0,0,0
236,14210096,979,3,0,6.93,0,1,1
236,14210096,979,4,0,6.59,0,0,0
237,14215962,979,1,0,6.925,0.118,1,0
237,14215962,979,2,0,4.701,0,0,0
237,14215962,979,3,1,6.93,0,1,1
237,14215962,979,4,0,6.59,0,0,0
238,14220715,1029,1,1,7.769,0.122,1,1
238,14220715,1029,2,0,5.019,0.336,0,0
238,14220715,1029,3,0,7.803,0,0,0
238,14220715,1029,4,0,6.79,0,0,0
239,14225508,987,1,0,6.827,0,0,0
239,14225508,987,2,0,4.72,0,0,0
239,14225508,987,3,0,7.063,0,1,1
239,14225508,987,4,1,6.597,0.594,1,1
240,14228221,976,1,0,6.925,0.118,0,0
240,14228221,976,2,0,4.679,0,1,0
240,14228221,976,3,0,7.072,0,0,0
240,14228221,976,4,1,6.59,0,1,1
241,14228221,978,1,1,6.925,0.118,1,1
241,14228221,978,2,0,4.682,0,0,0
241,14228221,978,3,0,7.063,0,0,0
241,14228221,978,4,0,6.59,0,0,0
242,14228221,1005,1,0,7.198,1.217,0,0
242,14228221,1005,2,0,4.723,0,0,0
242,14228221,1005,3,1,7.058,0,1,1
242,14228221,1005,4,0,6.65,0,0,0
243,14228221,1019,1,1,7.64,0,1,0
243,14228221,1019,2,0,4.827,0.144,0,0
243,14228221,1019,3,0,7.803,0,0,0
243,14228221,1019,4,0,6.79,0,0,0
244,14228221,1029,1,1,7.769,0.122,1,1
244,14228221,1029,2,0,5.019,0.336,0,0
244,14228221,1029,3,0,7.803,0,0,0
244,14228221,1029,4,0,6.79,0,0,0
245,14234849,913,1,0,7.344,0.302,0,0
245,14234849,913,2,1,4.379,0.239,0,0
245,14234849,913,3,0,6.96,0.307,0,0
245,14234849,913,4,0,6.045,0,0,1
246,14234849,925,1,0,7.064,0,0,0
246,14234849,925,2,0,4.121,0,0,0
246,14234849,925,3,0,7.017,0,0,0
246,14234849,925,4,1,6.012,1.022,1,1
247,14234849,966,1,0,7.079,0.384,0,0
247,14234849,966,2,0,4.464,0.37,1,1
247,14234849,966,3,1,7.005,0.441,1,0
247,14234849,966,4,0,6.59,0,0,0
248,14234849,967,1,0,7.068,0.225,0,0
248,14234849,967,2,0,4.5,0.369,0,0
248,14234849,967,3,1,7.019,1.205,1,1
248,14234849,967,4,0,6.59,0,1,1
249,14234849,987,1,1,6.827,0,0,0
249,14234849,987,2,0,4.72,0,0,0
249,14234849,987,3,0,7.063,0,1,1
249,14234849,987,4,0,6.597,0.594,1,1
250,14234849,1010,1,0,7.216,0.932,0,0
250,14234849,1010,2,0,4.955,0.148,0,0
250,14234849,1010,3,1,7.783,0.391,1,1
250,14234849,1010,4,0,6.79,0,0,0
251,14234849,1011,1,0,7.219,0.206,0,0
251,14234849,1011,2,0,4.854,0.168,1,1
251,14234849,1011,3,1,7.783,0.391,0,0
251,14234849,1011,4,0,6.79,0,0,0
252,14234849,1022,1,1,7.769,0.142,1,1
252,14234849,1022,2,0,5.028,0,0,0
252,14234849,1022,3,0,7.803,0,0,0
252,14234849,1022,4,0,6.79,0,0,0
253,14234849,1036,1,0,7.647,0,1,0
253,14234849,1036,2,0,5.028,0,0,0
253,14234849,1036,3,1,7.803,0,1,1
253,14234849,1036,4,0,6.79,0,0,0
254,14243519,923,1,1,7.059,0,0,0
254,14243519,923,2,0,4.17,0,0,0
254,14243519,923,3,0,7.017,0,1,1
254,14243519,923,4,0,5.99,0,0,0
255,14243519,985,1,1,6.827,0,1,1
255,14243519,985,2,0,4.701,0,0,0
255,14243519,985,3,0,7.063,0,1,0
255,14243519,985,4,0,6.59,0,0,0
256,14247148,1033,1,0,7.647,0,0,0
256,14247148,1033,2,1,5.028,0,1,1
256,14247148,1033,3,0,7.803,0,0,0
256,14247148,1033,4,0,6.79,0,0,0
257,14249011,976,1,0,6.925,0.118,0,0
257,14249011,976,2,0,4.679,0,1,0
257,14249011,976,3,0,7.072,0,0,0
257,14249011,976,4,1,6.59,0,1,1
258,14250720,919,1,0,7.156,0.114,1,1
258,14250720,919,2,1,4.17,0,0,0
258,14250720,919,3,0,6.986,0,0,0
258,14250720,919,4,0,5.99,0,0,0
259,14250720,927,1,1,7.064,0,1,0
259,14250720,927,2,0,4.121,0,0,0
259,14250720,927,3,0,7,0.061,1,1
259,14250720,927,4,0,5.99,0,0,0
260,14250720,930,1,0,7.064,0,0,0
260,14250720,930,2,1,4.121,0,1,1
260,14250720,930,3,0,7.017,0,0,0
260,14250720,930,4,0,5.825,0,0,0
261,14250720,932,1,0,7.064,0,0,0
261,14250720,932,2,1,4.121,0.073,1,0
261,14250720,932,3,0,7.017,0.09,1,1
261,14250720,932,4,0,5.71,0,1,1
262,14250720,935,1,0,7.064,0,0,0
262,14250720,935,2,1,4.121,0,0,0
262,14250720,935,3,0,7.014,0,0,1
262,14250720,935,4,0,5.943,0,0,0
263,14250720,936,1,0,7.064,0,1,1
263,14250720,936,2,1,4.121,0,0,0
263,14250720,936,3,0,7.014,0,0,0
263,14250720,936,4,0,5.94,0,0,0
264,14250720,980,1,0,6.925,0.118,0,0
264,14250720,980,2,1,4.701,0,0,0
264,14250720,980,3,0,6.966,0,1,1
264,14250720,980,4,0,6.59,0,0,0
265,14250720,981,1,1,6.925,0.118,1,1
265,14250720,981,2,0,4.701,0,0,0
265,14250720,981,3,0,7.063,0,0,0
265,14250720,981,4,0,6.59,0,0,0
266,14250720,994,1,1,6.913,0,1,1
266,14250720,994,2,0,4.715,0,0,0
266,14250720,994,3,0,7.106,0.048,0,0
266,14250720,994,4,0,6.5,0,1,0
267,14250720,997,1,1,6.902,0.589,1,0
267,14250720,997,2,0,4.776,0,0,0
267,14250720,997,3,0,7.106,0.048,1,1
267,14250720,997,4,0,6.65,0,0,0
268,14250720,1000,1,1,6.913,0,0,0
268,14250720,1000,2,0,4.704,0,0,0
268,14250720,1000,3,0,7.058,0,0,0
268,14250720,1000,4,0,6.65,0,0,0
269,14250720,1001,1,0,7.095,0,0,0
269,14250720,1001,2,1,4.723,0,0,0
269,14250720,1001,3,0,7.058,0,1,1
269,14250720,1001,4,0,6.65,0,0,0
270,14250720,1003,1,1,7.198,0.974,0,0
270,14250720,1003,2,0,4.723,0,0,0
270,14250720,1003,3,0,7.058,0,0,0
270,14250720,1003,4,0,6.65,0,0,0
271,14250720,1005,1,0,7.198,1.217,0,0
271,14250720,1005,2,0,4.723,0,0,0
271,14250720,1005,3,1,7.058,0,1,1
271,14250720,1005,4,0,6.65,0,0,0
272,14250720,1010,1,0,7.216,0.932,0,0
272,14250720,1010,2,0,4.955,0.148,0,0
272,14250720,1010,3,1,7.783,0.391,1,1
272,14250720,1010,4,0,6.79,0,0,0
273,14250720,1011,1,0,7.219,0.206,0,0
273,14250720,1011,2,1,4.854,0.168,1,1
273,14250720,1011,3,0,7.783,0.391,0,0
273,14250720,1011,4,0,6.79,0,0,0
274,14250720,1017,1,0,7.2,0.532,1,0
274,14250720,1017,2,0,4.824,0.157,1,1
274,14250720,1017,3,1,7.803,0,0,0
274,14250720,1017,4,0,6.79,0,0,0
275,14250720,1019,1,0,7.64,0,1,0
275,14250720,1019,2,1,4.827,0.144,0,0
275,14250720,1019,3,0,7.803,0,0,0
275,14250720,1019,4,0,6.79,0,0,0
276,14250720,1022,1,0,7.769,0.142,1,1
276,14250720,1022,2,0,5.028,0,0,0
276,14250720,1022,3,1,7.803,0,0,0
276,14250720,1022,4,0,6.79,0,0,0
277,14250720,1024,1,0,7.769,0.142,1,0
277,14250720,1024,2,1,5.028,0,1,0
277,14250720,1024,3,0,7.803,0,0,0
277,14250720,1024,4,0,6.79,0,0,0
278,14250720,1030,1,1,7.769,0.171,1,0
278,14250720,1030,2,0,5.019,0.336,0,0
278,14250720,1030,3,0,7.803,0,0,1
278,14250720,1030,4,0,6.79,0,0,0
279,14254649,963,1,1,7.071,0.265,1,0
279,14254649,963,2,0,4.234,0,0,0
279,14254649,963,3,0,6.987,0,0,0
279,14254649,963,4,0,6.59,0,0,0
280,14254649,975,1,1,6.925,0.118,0,1
280,14254649,975,2,0,4.679,0,1,0
280,14254649,975,3,0,7.072,0,0,0
280,14254649,975,4,0,6.59,0,0,0
281,14254649,985,1,1,6.827,0,1,1
281,14254649,985,2,0,4.701,0,0,0
281,14254649,985,3,0,7.063,0,1,0
281,14254649,985,4,0,6.59,0,0,0
282,14254649,992,1,1,6.827,0,0,0
282,14254649,992,2,0,4.652,0,1,1
282,14254649,992,3,0,7.399,0,0,0
282,14254649,992,4,0,6.59,0,0,0
283,14254649,1010,1,0,7.216,0.932,0,0
283,14254649,1010,2,0,4.955,0.148,0,0
283,14254649,1010,3,1,7.783,0.391,1,1
283,14254649,1010,4,0,6.79,0,0,0
284,14257956,1036,1,0,7.647,0,1,0
284,14257956,1036,2,0,5.028,0,0,0
284,14257956,1036,3,1,7.803,0,1,1
284,14257956,1036,4,0,6.79,0,0,0
285,14260315,918,1,0,7.207,0.133,1,0
285,14260315,918,2,0,4.17,0,0,0
285,14260315,918,3,1,6.986,0,1,1
285,14260315,918,4,0,5.99,0,0,0
286,14260315,932,1,0,7.064,0,0,0
286,14260315,932,2,0,4.121,0.073,1,0
286,14260315,932,3,1,7.017,0.09,1,1
286,14260315,932,4,0,5.71,0,1,1
287,14260315,945,1,0,7.064,0,1,0
287,14260315,945,2,0,4.125,0,0,0
287,14260315,945,3,1,7.014,0,1,1
287,14260315,945,4,0,5.99,0,0,0
288,14260315,965,1,0,7.079,0.384,0,0
288,14260315,965,2,0,4.231,0.3,0,0
288,14260315,965,3,1,7.014,0,1,0
288,14260315,965,4,0,6.59,0,0,0
289,14260315,1037,1,0,7.647,0,0,0
289,14260315,1037,2,0,5.028,0,1,1
289,14260315,1037,3,1,7.803,0,1,0
289,14260315,1037,4,0,6.79,0,0,0
290,14300251,916,1,0,7.207,0.165,1,0
290,14300251,916,2,0,4.17,0,0,0
290,14300251,916,3,1,6.986,0,1,1
290,14300251,916,4,0,6.045,0,0,0
291,14300251,918,1,0,7.207,0.133,1,0
291,14300251,918,2,0,4.17,0,0,0
291,14300251,918,3,1,6.986,0,1,1
291,14300251,918,4,0,5.99,0,0,0
292,14300251,944,1,1,7.064,0.088,1,0
292,14300251,944,2,0,4.125,0.073,1,0
292,14300251,944,3,0,7.014,0,0,1
292,14300251,944,4,0,5.99,0,0,0
293,14300251,946,1,0,7.064,0,0,0
293,14300251,946,2,0,4.125,0,0,0
293,14300251,946,3,1,7.014,0,1,0
293,14300251,946,4,0,6,0,0,0
294,14300251,1003,1,1,7.198,0.974,0,0
294,14300251,1003,2,0,4.723,0,0,0
294,14300251,1003,3,0,7.058,0,0,0
294,14300251,1003,4,0,6.65,0,0,0
295,14300251,1005,1,0,7.198,1.217,0,0
295,14300251,1005,2,0,4.723,0,0,0
295,14300251,1005,3,1,7.058,0,1,1
295,14300251,1005,4,0,6.65,0,0,0
296,14300350,977,1,0,6.807,0,0,0
296,14300350,977,2,0,4.679,0,1,0
296,14300350,977,3,0,7.072,0,0,0
296,14300350,977,4,1,6.59,0,0,0
297,14300376,923,1,0,7.059,0,0,0
297,14300376,923,2,0,4.17,0,0,0
297,14300376,923,3,1,7.017,0,1,1
297,14300376,923,4,0,5.99,0,0,0
298,14300376,1010,1,0,7.216,0.932,0,0
298,14300376,1010,2,0,4.955,0.148,0,0
298,14300376,1010,3,1,7.783,0.391,1,1
298,14300376,1010,4,0,6.79,0,0,0
299,14300376,1016,1,0,7.2,0.425,1,0
299,14300376,1016,2,0,4.828,0,0,0
299,14300376,1016,3,1,7.803,0,1,1
299,14300376,1016,4,0,6.79,0,0,0
300,14300707,1005,1,0,7.198,1.217,0,0
300,14300707,1005,2,0,4.723,0,0,0
300,14300707,1005,3,1,7.058,0,1,1
300,14300707,1005,4,0,6.65,0,0,0
301,14300707,1016,1,0,7.2,0.425,1,0
301,14300707,1016,2,0,4.828,0,0,0
301,14300707,1016,3,1,7.803,0,1,1
301,14300707,1016,4,0,6.79,0,0,0
302,14300764,957,1,0,7.064,0,0,0
302,14300764,957,2,0,4.125,0,0,0
302,14300764,957,3,1,7.014,0,0,1
302,14300764,957,4,0,6.59,0,0,0
303,14300764,1002,1,0,7.024,1.199,1,1
303,14300764,1002,2,0,4.723,0,0,0
303,14300764,1002,3,1,7.058,0,0,0
303,14300764,1002,4,0,6.65,0,0,0
304,14300764,1013,1,0,7.44,0,0,0
304,14300764,1013,2,1,4.925,0.155,0,0
304,14300764,1013,3,0,7.803,0,0,0
304,14300764,1013,4,0,6.79,0,0,0
305,14300764,1035,1,0,7.647,0,1,1
305,14300764,1035,2,1,5.028,0,0,0
305,14300764,1035,3,0,7.803,0,0,0
