RESPONDENT_ID,ad_id,brand,page_num,page_pos,brand_fix,pic_fix,brand_size,pic_size,recall_accu,RECALL_TIME
33,2,LOreal,5,1,0,1,4.38185,52.58685,0,4.2
33,3,Astnor,6,0,0,2,6.85565,77.6116,0,3.24
33,4,MarieJo,11,1,0,1,2.914,71.3558,0,2.32
33,5,SiSi,13,1,0,4,4.09045,52.40085,1,4.4
33,6,ClearBlue,14,0,0,1,2.2537,77.60385,1,4.96
33,7,Lancaster,17,1,0,3,2.37925,88.0896,1,3.52
33,8,Barclay,18,0,0,0,4.9166,72.6268,0,1.72
33,9,Dior,21,1,0,0,17.236,64.2072,0,2.64
33,10,Citroen,22,0,0,5,1.9902,71.15895,1,3.16
33,11,Nivea,25,1,1,3,4.54925,61.79385,1,1.68
33,12,Davidoff,26,0,0,3,1.8321,78.3742,1,2.44
33,13,Dali,29,1,2,5,6.6774,68.4728,1,1.24
33,14,Kapper,31,1,0,9,3.63475,69.7221,0,4.48
33,15,Alfa,32,0,0,1,2.72335,61.6156,0,3.92
33,16,Legere,35,1,8,1,14.3065,53.30915,1,2.92
33,17,Spa,40,0,2,3,11.3088,77.6488,0,3
33,18,Stuyvesant,43,1,1,4,4.82205,51.2554,1,2.32
33,19,Margriet,48,0,0,0,1.8817,76.23675,0,3.24
33,20,Chantelle,55,1,4,1,25.1658,80.1195,1,1.56
33,21,Kodak,69,1,0,5,4.27645,64.76365,1,2.24
33,22,Gilette,71,1,0,3,1.9592,75.83065,1,1.84
33,23,Silan,75,1,7,6,9.19925,64.90315,1,1.44
33,24,Fancy,76,0,0,0,4.57715,32.82435,0,1.56
33,25,Cartoon,94,0,0,3,9.38525,75.57335,0,2.76
33,26,VanderBilt,96,0,2,3,16.2781,71.25505,1,1.28
33,27,Viva,98,0,0,0,3.0659,24.0219,0,2.88
33,28,Arden,99,1,6,4,9.3124,77.62865,1,4.2
33,29,Gauloises,107,1,0,5,5.9644,77.6674,1,0.92
